date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:18:31	20154/20154	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:18:29%20GMT	http://derpal.com.pl/pl/akcesoria-do-drzwi/1,-4,7	derpal.com.pl/pl/akcesoria-do-drzwi/1,-4,7.html	(from http://derpal.com.pl/)
21:18:33	109442/109442	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Feb%202013%2013:16:33%20GMT	http://derpal.com.pl/site_media/storage/images/2013-02/banner_glowna.jpg	derpal.com.pl/site_media/storage/images/2013-02/banner_glowna.jpg	(from http://derpal.com.pl/)
21:18:34	6866/6866	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Mar%202013%2010:56:27%20GMT	http://derpal.com.pl/site_media/storage/images/2013-02/ottawa.jpg.180x170_q85.jpg	derpal.com.pl/site_media/storage/images/2013-02/ottawa.jpg.180x170_q85.jpg	(from http://derpal.com.pl/)
21:18:34	953/953	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Feb%202013%2014:26:35%20GMT	http://derpal.com.pl/site_media/images/site/cien-pod-banerem.png	derpal.com.pl/site_media/images/site/cien-pod-banerem.png	(from http://derpal.com.pl/)
21:18:35	0/0	---MC-	302	error ('FOUND')	text/html	date:Mon,%2016%20Aug%202021%2021:18:34%20GMT	http://derpal.com.pl/promocja-na-klamki-axa-note/0,-83,1	derpal.com.pl/promocja-na-klamki-axa-note/0,-83,1	(from http://derpal.com.pl/)
21:18:37	15952/15952	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:18:35%20GMT	http://derpal.com.pl/pl/promocja-na-klamki-axa-note/0,-83,1	derpal.com.pl/pl/promocja-na-klamki-axa-note/0,-83,1.html	(from http://derpal.com.pl/)
21:18:37	0/0	---MC-	302	error ('FOUND')	text/html	date:Mon,%2016%20Aug%202021%2021:18:36%20GMT	http://derpal.com.pl/korekta-cen-w-katalogu-produktow-20202021/0,-82,1	derpal.com.pl/korekta-cen-w-katalogu-produktow-20202021/0,-82,1	(from http://derpal.com.pl/)
21:18:39	15280/15280	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Aug%202021%2021:18:37%20GMT	http://derpal.com.pl/pl/korekta-cen-w-katalogu-produktow-20202021/0,-82,1	derpal.com.pl/pl/korekta-cen-w-katalogu-produktow-20202021/0,-82,1.html	(from http://derpal.com.pl/)
21:18:39	0/0	---MC-	302	error ('FOUND')	text/html	date:Mon,%2016%20Aug%202021%2021:18:38%20GMT	http://derpal.com.pl/pl/o-firmie/o-firmie-historia-firmy/0,-2v,1,2	derpal.com.pl/pl/o-firmie/o-firmie-historia-firmy/0,-2v,1,2	(from http://derpal.com.pl/)
21:18:41	2088/2088	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Feb%202013%2013:22:17%20GMT	http://derpal.com.pl/site_media/storage/images/2013-02/telefon.png	derpal.com.pl/site_media/storage/images/2013-02/telefon.png	(from http://derpal.com.pl/)
